epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.2323,2.9405,4.12756,2.09392,0.00709,0.01318,0.00434,0.00208,2.7865,4.38329,2.02399,1.25e-05,1.25e-05,1.25e-05
2,141.255,3.0093,4.00753,2.1396,0.32209,0.00915,0.00894,0.00601,2.74051,4.1208,1.95434,3.56437e-05,3.56437e-05,3.56437e-05
3,205.034,2.81115,3.39065,1.95403,0.28341,0.01361,0.01089,0.00786,2.68747,5.52465,1.85484,5.63125e-05,5.63125e-05,5.63125e-05
4,273.271,2.52782,2.9813,1.83029,0.3281,0.01891,0.01345,0.01028,2.61289,7.52479,1.76501,7.45062e-05,7.45062e-05,7.45062e-05
5,339.38,2.41757,2.39032,1.71429,0.09514,0.02323,0.02533,0.02174,2.54849,7.09162,1.70359,9.0225e-05,9.0225e-05,9.0225e-05
6,402.731,2.42197,2.46913,1.71793,0.09981,0.02714,0.03928,0.03603,2.44484,6.06588,1.61886,0.000103469,0.000103469,0.000103469
7,465.784,2.39387,2.33863,1.65106,0.08507,0.02742,0.04054,0.03658,2.37394,6.80971,1.56616,0.000114238,0.000114238,0.000114238
8,532.776,2.3224,2.20898,1.61164,0.30604,0.02754,0.02432,0.02018,2.3833,7.35379,1.56494,0.000122531,0.000122531,0.000122531
9,601.368,2.29634,2.15183,1.6083,0.29098,0.03048,0.03344,0.01991,2.33484,7.70597,1.53342,0.00012835,0.00012835,0.00012835
10,678.234,2.19035,1.89295,1.52036,0.03899,0.03257,0.02369,0.01714,2.34274,7.53301,1.53234,0.000131694,0.000131694,0.000131694
11,741.413,2.36613,2.19371,1.58473,0.04273,0.03576,0.02517,0.01711,2.29411,6.01607,1.49551,0.000132563,0.000132563,0.000132563
12,804.344,2.31388,1.94035,1.52986,0.04273,0.03576,0.02517,0.01711,2.29411,6.01607,1.49551,0.000130956,0.000130956,0.000130956
13,867.025,2.24534,1.95554,1.47943,0.06017,0.05269,0.04029,0.02963,2.27468,5.7389,1.46269,0.000126875,0.000126875,0.000126875
14,929.518,2.23614,1.82609,1.45903,0.08069,0.05223,0.04988,0.0382,2.26422,8.19975,1.41884,0.000120319,0.000120319,0.000120319
15,996.696,2.19856,1.7404,1.41247,0.08069,0.05223,0.04988,0.0382,2.26422,8.19975,1.41884,0.000111288,0.000111288,0.000111288
16,1060.8,2.18199,1.77814,1.43781,0.12719,0.05394,0.07158,0.05357,2.28507,9.73191,1.41232,9.97813e-05,9.97813e-05,9.97813e-05
17,1126.09,2.17937,1.73025,1.41414,0.15404,0.05705,0.0827,0.0619,2.29261,8.54101,1.40553,8.58e-05,8.58e-05,8.58e-05
18,1198.06,2.07129,1.72664,1.38934,0.15404,0.05705,0.0827,0.0619,2.29261,8.54101,1.40553,6.93438e-05,6.93438e-05,6.93438e-05
19,1261.27,2.15623,1.73788,1.40548,0.15461,0.06116,0.0863,0.05858,2.25596,7.20847,1.38923,5.04125e-05,5.04125e-05,5.04125e-05
20,1324.23,2.04357,1.68116,1.40675,0.15461,0.06116,0.0863,0.05858,2.25596,7.20847,1.38923,2.90063e-05,2.90063e-05,2.90063e-05
